f0,f1,f2,f3,f4,f5
2.5069892008960606,1.4469687284686543,0.7082518964073288,-0.23597518406169046,-0.1387959340370917,5.514074765671099
2.610402423817097,1.4936292785414935,0.6596494533734619,-0.14417897260764279,-0.09660980277356573,5.609022599772772
2.7163604779078314,1.5402748493952962,0.6081163206731375,-0.05301648086174515,-0.05320324633309596,5.705374268944977
2.824259114342492,1.5868331501514348,0.5538814496360513,0.03655051168313224,-0.00887553148328113,5.8033071690571205
2.933480238865665,1.6332320414199422,0.4971857948712053,0.12361687211278902,0.036067182999837556,5.902999176755443
3.043395992881124,1.679399660523404,0.4382812437540786,0.20734758144266976,0.08131388507106328,6.0046009977038315
3.153372904301793,1.7252645462404939,0.3774294973417756,0.28698952269369293,0.12655078301783793,6.1082092785336375
3.2627760800555397,1.7707557628526427,0.3149009076879342,0.3618813705378583,0.17146339987302744,6.213841691820185
3.370973411843259,1.8158030232785203,0.2509732767229884,0.4314614064392852,0.21573867443808045,6.321415126107781
3.4773397666420367,1.8603368110825618,0.18593062203613683,0.49527312994099065,0.25906705466411206,6.4307279896411975
3.5812611335383564,1.9042885011457567,0.12006191504242673,0.5529685860662507,0.3011445691845673,6.541447471945086
3.6821386987632567,1.9475904787892577,0.053659797140922325,0.6043093796088685,0.34167486293659055,6.653102408285056
3.779392821281171,1.9901762571439858,-0.012980720432075609,0.6491653982413468,0.3803711830481585,6.765082166292318
3.872466881954047,2.031980592562521,-0.07956356727854007,0.6875113167305175,0.4169583015029595,6.876641730654465
3.960830980157102,2.0729395978729466,-0.145792929219867,0.7194210029926286,0.45117436152240187,6.98691291049218
4.043985452756694,2.112990853278025,-0.21137456253969328,0.7450599921657526,0.4827726351211901,7.094921344902013
4.1214641915671795,2.152073514707223,-0.27601710124946705,0.7646762363175234,0.5115231798961197,7.199608745115338
4.192837736773926,2.190128419433504,-0.3394333515688532,0.77858937392287,0.5372143837928745,7.299859596292458
4.257716125334324,2.2270981887715324,-0.4013415678698611,0.7871787940345741,0.5596543873579777,7.394531356772509
4.315751475037546,2.262927327679032,-0.46146670441590937,0.7908707944544396,0.5786723738174833,7.482487045067827
4.366640286705155,2.297562321088414,-0.5195416373346711,0.7901251506649938,0.5941197182246704,7.56262900096257
4.410125448936103,2.330951726801439,-0.5753083513956098,0.7854214224288063,0.6058709878797448,7.633932550952163
4.44599793182823,2.3630462647856603,-0.628519086319688,0.7772453275976997,0.6138247872388155,7.695478302243685
4.474098158229807,2.3937989027176707,-0.6789374375284001,0.7660755077603506,0.6179044415901367,7.746481833934179
